ANO,CO_MUNICIPIO,NO_MUNICIPIO,QTD_ALUNOS_INSE,MEDIA_INSE,TDI_ANOS_FINAIS,MEDIA_ALUNOS_TURMA_ANOS_FINAIS,PERC_ESCOLAS_BAIXA_REGULARIDADE_DOCENTE,PERC_ESCOLAS_MEDIA_BAIXA_REGULARIDADE_DOCENTE,PERC_ESCOLAS_MEDIA_ALTA_REGULARIDADE_DOCENTE,PERC_ESCOLAS_ALTA_REGULARIDADE_DOCENTE,TAXA_ABANDONO_ANOS_FINAIS
2023,3121506,Desterro do Melo,96,5.0663,23.3,22.5,0.0,33.3,33.3,33.4,0.0
2023,3121308,Descoberto,133,5.1546,21.3,27.0,25.0,0.0,75.0,0.0,0.0
2023,3121258,Delta,338,5.0466,20.1,25.8,0.0,20.0,80.0,0.0,0.0
2023,3121209,Delfinópolis,275,5.1931,11.0,24.0,0.0,37.5,62.5,0.0,4.5
2023,3121100,Delfim Moreira,199,5.0437,3.6,23.1,0.0,16.7,83.3,0.0,0.2
2023,3121001,Datas,227,4.7799,3.6,22.5,14.3,42.9,42.8,0.0,0.8
2023,3120904,Curvelo,2409,4.9651,13.5,27.8,0.0,32.4,56.8,10.8,2.0
2023,3120870,Curral de Dentro,299,4.6747,8.9,30.8,0.0,37.5,50.0,12.5,2.8
2023,3120839,Cuparaque,116,5.0265,14.3,21.5,33.3,33.3,33.4,0.0,2.6
2023,3120805,Cruzília,406,5.0913,12.3,24.6,0.0,0.0,100.0,0.0,0.6
2023,3120706,Cruzeiro da Fortaleza,177,5.1826,12.7,18.3,0.0,33.3,66.7,0.0,1.1
2023,3120607,Crucilândia,154,5.1915,5.8,29.3,0.0,0.0,100.0,0.0,0.0
2023,3120409,Cristiano Otoni,149,5.2865,19.9,22.4,0.0,20.0,60.0,20.0,2.5
2023,3120300,Cristália,186,4.5486,4.7,21.2,0.0,16.7,50.0,33.3,0.5
2023,3120201,Cristais,292,5.1082,8.7,23.9,12.5,25.0,62.5,0.0,0.4
2023,3120151,Crisólita,147,4.4034,24.1,22.8,0.0,66.7,33.3,0.0,2.6
2023,3120102,Couto de Magalhães de Minas,141,4.7261,4.9,24.4,0.0,20.0,80.0,0.0,0.0
2023,3120003,Córrego Novo,112,4.8593,13.9,21.6,0.0,66.7,33.3,0.0,1.2
2023,3119955,Córrego Fundo,150,5.1939,3.8,23.8,0.0,50.0,50.0,0.0,0.4
2023,3119807,Córrego Danta,71,4.9755,3.6,28.0,0.0,60.0,40.0,0.0,0.9
2023,3119708,Coronel Xavier Chaves,115,5.3506,23.8,29.9,0.0,0.0,100.0,0.0,0.0
2023,3119609,Coronel Pacheco,68,5.0677,21.8,22.2,0.0,50.0,50.0,0.0,3.1
2023,3119500,Coronel Murta,268,4.443,6.9,21.4,0.0,37.5,62.5,0.0,1.4
2023,3119401,Coronel Fabriciano,2243,5.1445,10.0,28.2,0.0,42.9,54.3,2.8,2.2
2023,3119302,Coromandel,861,5.2258,4.5,25.6,20.0,44.0,32.0,4.0,0.5
2023,3119203,Coroaci,206,4.8823,13.0,15.5,12.5,31.3,43.8,12.4,1.1
2023,3119104,Corinto,612,4.8285,11.1,20.0,14.3,42.9,35.7,7.1,1.4
2023,3119005,Cordislândia,97,5.1711,14.7,24.3,0.0,33.3,66.7,0.0,2.4
2023,3118908,Cordisburgo,221,4.8748,8.0,22.6,0.0,14.3,28.6,57.1,0.0
2023,3118809,Coração de Jesus,710,4.5337,3.7,16.0,7.7,35.9,46.2,10.2,1.2
2023,3118700,Coqueiral,229,5.0856,18.4,28.2,0.0,40.0,20.0,40.0,2.2
2023,3118601,Contagem,13407,5.2725,12.3,26.6,7.9,44.7,46.7,0.7,1.1
2023,3118502,Consolação,42,4.9814,11.4,17.5,0.0,0.0,50.0,50.0,0.0
2023,3118403,Conselheiro Pena,476,4.9285,15.8,21.1,0.0,20.0,70.0,10.0,3.6
2023,3118304,Conselheiro Lafaiete,3307,5.4229,17.5,24.9,3.8,36.5,36.5,23.2,0.9
2023,3118106,Congonhas do Norte,159,4.4468,18.5,28.2,0.0,50.0,50.0,0.0,2.7
2023,3118007,Congonhas,1494,5.26,21.4,22.9,0.0,18.2,69.7,12.1,0.4
2023,3117900,Congonhal,278,5.1246,9.8,31.9,0.0,25.0,75.0,0.0,1.9
2023,3117836,Cônego Marinho,218,4.379,4.2,12.5,5.9,35.3,47.1,11.7,0.2
2023,3117405,Conceição de Ipanema,88,4.6306,5.4,13.7,50.0,25.0,25.0,0.0,1.5
2023,3117306,Conceição das Alagoas,825,5.0009,13.8,34.2,8.3,0.0,66.7,25.0,0.4
2023,3117207,Conceição das Pedras,76,5.0311,5.6,31.0,0.0,33.3,33.3,33.4,1.5
2023,3117108,Conceição da Aparecida,268,5.1589,10.2,27.3,28.6,14.3,57.1,0.0,3.3
2023,3117009,Comercinho,174,4.3909,11.3,21.4,18.2,18.2,36.4,27.2,0.9
2023,3116902,Comendador Gomes,119,5.0887,16.2,21.2,0.0,0.0,66.7,33.3,0.0
2023,3116803,Coluna,277,4.4912,8.2,23.2,20.0,40.0,40.0,0.0,4.4
2023,3116704,Coimbra,235,5.1281,8.2,29.2,0.0,66.7,33.3,0.0,1.6
2023,3116605,Cláudio,904,5.2256,4.3,25.2,0.0,64.3,35.7,0.0,0.7
2023,3116506,Claro dos Poções,217,4.6448,5.2,27.2,0.0,16.7,83.3,0.0,0.3
2023,3116407,Claraval,140,5.2806,7.7,27.3,0.0,20.0,60.0,20.0,0.9
2023,3116308,Cipotânea,158,4.7751,15.0,26.1,0.0,60.0,40.0,0.0,1.9
2023,3117504,Conceição do Mato Dentro,585,4.8873,15.4,23.0,14.3,33.3,28.6,23.8,1.4
2023,3117603,Conceição do Pará,151,5.2549,10.7,18.2,28.6,14.3,57.1,0.0,4.9
2023,3116209,Chiador,100,4.9711,22.4,24.5,28.6,57.1,14.3,0.0,0.0
2023,3117702,Conceição do Rio Verde,336,5.0568,12.3,27.8,10.0,50.0,40.0,0.0,4.5
2023,3116159,Chapada Gaúcha,462,4.571,7.9,20.3,11.8,52.9,29.4,5.9,1.6
2023,3117801,Conceição dos Ouros,344,5.214,7.0,28.5,0.0,71.4,28.6,0.0,2.0
2023,3117876,Confins,192,5.2116,10.4,22.5,0.0,33.3,50.0,16.7,1.2
2023,3116100,Chapada do Norte,286,4.3553,5.7,17.7,22.2,50.0,27.8,0.0,0.2
2023,3116001,Chalé,140,4.8065,5.1,17.7,6.7,20.0,33.3,40.0,0.0
2023,3115904,Chácara,98,5.1441,28.4,22.7,0.0,66.7,33.3,0.0,0.0
2023,3115805,Centralina,235,5.0819,13.7,21.2,0.0,20.0,80.0,0.0,5.1
2023,3115706,Central de Minas,162,4.8952,7.2,19.9,0.0,66.7,33.3,0.0,0.3
2023,3118205,Conquista,167,5.1987,18.4,24.5,0.0,50.0,33.3,16.7,0.7
2023,3115607,Cedro do Abaeté,27,5.0241,14.9,11.8,0.0,66.7,33.3,0.0,0.0
2023,3115508,Caxambu,440,5.0565,10.5,26.3,0.0,46.2,46.2,7.6,1.8
2023,3115474,Catuti,165,4.5066,3.2,20.2,16.7,66.7,16.6,0.0,0.0
2023,3115458,Catuji,312,4.4858,18.4,31.6,25.0,33.3,41.7,0.0,3.4
2023,3115409,Catas Altas da Noruega,116,4.6778,9.8,23.9,33.3,50.0,16.7,0.0,1.9
2023,3115359,Catas Altas,182,5.3446,16.0,23.1,0.0,33.3,50.0,16.7,1.6
2023,3115300,Cataguases,1350,5.0702,14.1,25.1,2.9,17.6,70.6,8.9,1.3
2023,3115201,Conceição da Barra de Minas,112,4.9492,10.7,21.0,0.0,0.0,100.0,0.0,0.0
2023,3115102,Cássia,412,5.2057,10.4,28.6,22.2,22.2,44.4,11.2,2.6
2023,3115003,Cascalho Rico,85,5.0448,8.1,15.5,0.0,50.0,50.0,0.0,0.0
2023,3114907,Casa Grande,66,5.1131,14.0,19.0,0.0,0.0,100.0,0.0,1.8
2023,3114808,Carvalhos,122,4.9464,9.9,24.0,20.0,20.0,60.0,0.0,1.0
2023,3114709,Carvalhópolis,116,5.3585,14.8,22.0,0.0,33.3,33.3,33.4,1.2
2023,3114600,Carrancas,130,5.103,20.2,27.9,0.0,33.3,66.7,0.0,1.9
2023,3114550,Carneirinho,200,5.2393,15.6,19.7,11.1,22.2,55.6,11.1,0.2
2023,3114501,Carmópolis de Minas,496,5.1132,4.2,26.3,12.5,25.0,62.5,0.0,0.8
2023,3114402,Carmo do Rio Claro,464,5.2185,5.4,25.5,11.1,55.6,22.2,11.1,0.2
2023,3114303,Carmo do Paranaíba,780,5.2349,5.1,27.0,18.2,18.2,54.5,9.1,1.8
2023,3114204,Carmo do Cajuru,639,5.2287,8.9,25.0,20.0,73.3,6.7,0.0,2.1
2023,3114105,Carmo de Minas,386,4.9357,21.4,29.1,22.2,11.1,66.7,0.0,2.2
2023,3114006,Carmo da Mata,246,4.9668,3.4,22.8,0.0,0.0,83.3,16.7,1.0
2023,3113909,Carmo da Cachoeira,320,4.9298,15.4,29.3,0.0,0.0,100.0,0.0,0.8
2023,3113800,Carmésia,84,4.8894,10.9,8.3,0.0,40.0,40.0,20.0,0.0
2023,3113701,Carlos Chagas,471,4.6134,22.7,22.3,5.9,41.2,52.9,0.0,2.1
2023,3119906,Córrego do Bom Jesus,179,5.4731,4.1,30.5,0.0,0.0,100.0,0.0,0.0
2023,3113602,Careaçu,224,5.2935,10.6,33.6,0.0,33.3,66.7,0.0,0.4
2023,3113503,Carbonita,296,4.9236,2.6,23.0,20.0,40.0,30.0,10.0,0.2
2023,3113404,Caratinga,2189,5.0076,11.3,25.0,9.4,48.4,31.3,10.9,1.3
2023,3120508,Cristina,223,5.0089,9.9,26.0,12.5,50.0,37.5,0.0,1.7
2023,3113305,Carangola,619,4.9039,19.2,25.5,7.1,35.7,50.0,7.2,2.2
2023,3113206,Carandaí,591,5.1031,7.7,25.2,0.0,40.0,53.3,6.7,0.1
2023,3113107,Caranaíba,77,4.7969,16.3,20.8,0.0,20.0,40.0,40.0,0.6
2023,3113008,Caraí,666,4.2461,18.6,22.4,19.4,51.6,29.0,0.0,3.8
2023,3112901,Caputira,277,4.7601,12.8,23.4,18.2,9.1,54.5,18.2,3.6
2023,3112802,Capitólio,293,5.3538,10.6,30.9,33.3,22.2,44.5,0.0,0.0
2023,3112703,Capitão Enéas,463,4.5705,7.0,24.6,6.7,40.0,46.7,6.6,1.6
2023,3112653,Capitão Andrade,94,4.9593,20.2,22.3,20.0,0.0,60.0,20.0,4.7
2023,3112604,Capinópolis,349,5.2268,11.4,29.5,0.0,0.0,87.5,12.5,1.5
2023,3112505,Capim Branco,265,5.0959,3.1,30.3,0.0,85.7,14.3,0.0,0.4
