ANO,CO_MUNICIPIO,NO_MUNICIPIO,QTD_ALUNOS_INSE,MEDIA_INSE
2023,3171501,Mathias Lobato,102,4.6
2023,3156700,Sabará,3048,5.1573
2023,3170479,Uruana de Minas,118,4.8888
2023,3152907,Pratápolis,220,5.1789
2023,3171204,Vespasiano,3721,5.1713
2023,3159407,Santa Rita de Ibitipoca,76,5.0725
2023,3152600,Pouso Alto,155,5.1119
2023,3151909,Pocrane,196,4.8814
2023,3140159,Mário Campos,437,5.2587
2023,3150901,Piranguçu,165,5.3236
2023,3143302,Montes Claros,9938,4.9911
2023,3162955,São José da Lapa,877,5.3535
2023,3166006,Senhora de Oliveira,178,4.914
2023,3161304,São Francisco de Sales,180,5.0694
2023,3164209,São Romão,227,4.5787
2023,3164407,São Sebastião da Bela Vista,241,5.276
2023,3140308,Marliéria,149,5.163
2023,3161601,São Geraldo da Piedade,139,4.8176
2023,3163201,São José do Alegre,125,5.191
2023,3167400,Silvianópolis,144,5.0623
2023,3138906,Machacalis,213,4.7053
2023,3167905,Tabuleiro,105,4.8794
2023,3168507,Teixeiras,288,4.9708
2023,3150802,Piranga,433,4.7011
2023,3138682,Luislândia,229,4.2933
2023,3150208,Piedade de Ponte Nova,121,4.6835
2023,3147709,Passa Tempo,212,5.303
2023,3157377,Santa Cruz de Salinas,128,4.1747
2023,3170909,Varzelândia,685,4.4178
2023,3157104,Salto da Divisa,192,4.6022
2023,3142502,Monjolos,72,4.4044
2023,3146305,Padre Paraíso,535,4.5481
2023,3137007,Ladainha,393,4.433
2023,3141702,Mesquita,141,5.0101
2023,3145901,Ouro Branco,953,5.4459
2023,3145356,Novo Oriente de Minas,264,4.3519
2023,3155900,Rio Preto,94,4.8591
2023,3171907,Virgolândia,143,4.5778
2023,3171402,Vieiras,140,4.8588
2023,3154457,Riachinho,198,4.6663
2023,3158300,Santana da Vargem,183,5.1232
2023,3153202,Presidente Juscelino,99,4.6499
2023,3153707,Quartel Geral,99,4.7991
2023,3158508,Santana de Pirapama,168,4.5281
2023,3158904,Santana do Manhuaçu,226,4.7247
2023,3137205,Lagoa da Prata,1302,5.2009
2023,3158706,Santana do Garambéu,69,4.7657
2023,3147303,Paraisópolis,450,5.2132
2023,3147600,Passa Quatro,368,5.1207
2023,3157807,Santa Luzia,5911,5.1626
2023,3170305,Umburatiba,78,4.6138
2023,3152808,Prata,859,5.1068
2023,3147956,Patis,158,4.3119
2023,3170008,Ubaí,360,4.2908
2023,3157203,Santa Bárbara,907,5.2192
2023,3161700,São Gonçalo do Abaeté,203,4.9764
2023,3150505,Pimenta,212,5.0984
2023,3169604,Tupaciguara,653,5.1302
2023,3144607,Nepomuceno,569,4.9687
2023,3148905,Pedra do Indaiá,109,5.1534
2023,3138807,Luz,402,5.0021
2023,3162658,São João do Pacuí,103,4.4059
2023,3161650,São Geraldo do Baixio,89,5.0795
2023,3149150,Pedras de Maria da Cruz,320,4.4068
2023,3161106,São Francisco,1808,4.5234
2023,3164605,São Sebastião do Oeste,258,4.8169
2023,3144201,Nacip Raydan,79,4.7666
2023,3162302,São João da Mata,103,5.2624
2023,3167608,Simonésia,477,4.8038
2023,3162708,São João do Paraíso,672,4.7881
2023,3138005,Laranjal,138,5.1867
2023,3168051,Taparuba,116,4.9619
2023,3151800,Poços de Caldas,3078,5.4658
2023,3144409,Natércia,110,5.1753
2023,3145455,Olhos-d'Água,186,4.6049
2023,3166501,Serra Azul de Minas,133,4.1885
2023,3169356,Três Marias,855,5.0238
2023,3169406,Três Pontas,1419,5.1464
2023,3152204,Porteirinha,1136,4.5951
2023,3169703,Turmalina,560,4.8338
2023,3165404,Sapucaí-Mirim,188,5.2546
2023,3159803,Santa Vitória,502,5.0
2023,3145059,Nova Porteirinha,149,4.4455
2023,3160306,Santo Antônio do Jacinto,341,4.4232
2023,3171105,Veríssimo,74,5.0608
2023,3155306,Rio Manso,143,5.1018
2023,3155801,Rio Pomba,380,4.9894
2023,3156205,Rochedo de Minas,76,5.0385
2023,3156452,Rosário da Limeira,182,4.8344
2023,3146255,Padre Carvalho,208,4.4535
2023,3155702,Rio Piracicaba,404,5.1282
2023,3145802,Onça de Pitangui,72,4.9665
2023,3138302,Leandro Ferreira,98,5.0295
2023,3172103,Volta Grande,131,4.8042
2023,3139409,Manhuaçu,2327,5.017
2023,3171303,Viçosa,1535,5.1295
2023,3141405,Medina,554,4.5945
2023,3142205,Miraí,267,5.0408
2023,3154200,Resende Costa,325,5.3024
2023,3141603,Mercês,213,4.7938
2023,3158201,Santa Maria do Suaçuí,358,4.6649
2023,3153103,Presidente Bernardes,138,4.6695
2023,3154002,Raul Soares,652,4.7597
2023,3142700,Montalvânia,502,4.5143
2023,3158805,Santana do Jacaré,115,4.9005
2023,3170602,Vargem Bonita,76,4.9791
2023,3147105,Pará de Minas,2285,5.2409
2023,3170438,União de Minas,112,5.1505
2023,3145307,Novo Cruzeiro,1035,4.3557
2023,3158102,Santa Maria do Salto,127,4.4863
2023,3147808,Passa Vinte,54,5.1183
2023,3157278,Santa Bárbara do Monte Verde,90,4.8662
2023,3157401,Santa Cruz do Escalvado,106,4.9956
2023,3157336,Santa Cruz de Minas,133,5.0385
2023,3170107,Uberaba,7520,5.299
2023,3169307,Três Corações,1806,5.1951
2023,3143906,Muriaé,2714,5.0392
2023,3152006,Pompéu,909,4.9783
2023,3165206,São Tomé das Letras,187,4.7542
2023,3152131,Ponto Chique,99,4.4557
2023,3169208,Tombos,167,5.0091
